说话人01(00:00:02): 我滴辛苦。那我先通读一下题目<笑声>摄影技术交流会。
说话人01(00:08:08): 同意同意，我觉得合理的。那咱们要不要分一下这个，我们去联系谁？就是，我觉得摄影队这边可以，我来问一下。看看有没有认识的同学。

说话人02(00:08:26): 我觉得其实这些摄影师专家他就是就是这些人的话，摄影队是一个很好的中介，就可以通过。

说话人01(00:08:36): 做摄影队的人。

说话人02(00:08:37): 来去联系他们。

说话人01(00:08:44): 要不我去联系一下摄影队的同学，然后顺便问一下他们专家的情况？然后比如什么场地的，预定什么之类的？就交给您那边。可以。

说话人02(00:09:04): 场地的预定。然后后面还有一个实践活动。这个先这个知识讲解活动什么场地的预定，然后什么物资的准备什么什么的都由我来，然后你负责，就是协调联系外外联就行。

说话人01(00:09:27): 然后可能后面就是。这个小范围的实践。

说话人02(00:09:32): 对。

说话人01(00:09:34): 这个我们是不是得规划一个路线出来给他们？

说话人02(00:09:40): 路线，然后时间得规划，然后那个人数得限制。然后估计还得。做一个前期的什么问卷？

说话人01(00:09:55): 先调查一下多长时间？

说话人02(00:09:57): 明情况对。

说话人01(00:09:59): 那我去做这个问卷去，然后？咱们时间其实可以也放在问卷里边，然后让同学来选一下。好的。

说话人02(00:10:14): 其实重重要的这这个实践活动不是还得请一个比较专业的人去带领大家拍照吗？然后这个人也需要协调。这个人应该也需要联系一下。

说话人01(00:10:35): 那这个交给您还是我这边来？这个和我们刚才那个专家是同一个吗？还是我们再另请高明？

说话人02(00:10:48): 我感觉这种活动可以。如果如果能串联起来，那肯定是很好的，如果不能的话，就把摄影队的同学作为备选。

说话人01(00:10:59): 行，可以，我觉得没问题，那就我这边来确定一下就行。那刚好时间也差不多。要不就先这样？

说话人02(00:11:16): 可以。

说话人01(00:11:17): 好，谢谢大哥！

说话人01(00:11:27): 对，我也整理一下。

说话人01(00:11:55): 好的，祝大哥生活愉快！
