说话人01(00:00:06): 你有什么想法没有？
说话人01(00:04:23): 我看了一下这个。三个地方，蓬莱烟台和威海市在一条线上。然后而且这三个地方应该都。都还有的玩吧！

说话人02(00:04:35): 那青岛还去吗？

说话人01(00:04:39): 青岛的话。青岛。你可以不去？

说话人02(00:04:50): 那经过去什么烟台？

说话人01(00:04:54): 对，蓬莱烟台威海威海不是最？对对，这些年好像也挺。挺火的，就是这个城旅游城市。

说话人02(00:05:06): 那这样呢。

说话人01(00:05:08): 我觉得。五天。

说话人02(00:05:13): 顺路我觉得可行的。

说话人01(00:05:17): 对。因为我觉得如果是去这三个城市的话，最主要的目的还是。看海。然后。比如说吃海鲜这些什么什么，然后再参观一下当地的那些历史文化。那些什么。景区之类的？

说话人02(00:05:36): 我觉得可行。这个什么烟台威海？好。那就五天。然后。五天去什么也好的。那我们就是按照顺序。

说话人01(00:06:01): 对，如果说按照这个交通来看的话，应该最。交通最便利的是烟台。可以先到烟台。

说话人02(00:06:11): 飞过去吗。

说话人01(00:06:14): 火车其实三个小时差不多。

说话人02(00:06:19): 其实那火车感觉要便宜一点。那就火车的话我看。

说话人01(00:06:26): 就是三三百多块钱对，可以先到烟台。

说话人02(00:06:30): 那就先到烟烟台。然后再到威海。蓬莱在哪？我怎么没找到？

说话人01(00:06:48): 烟台的什么西边就是你看的有一些群岛的那个。底下就是南边的那个城市就是。

说话人02(00:06:57): 烟台我看到。他叫蓬莱区是吧？

说话人01(00:07:04): 看一下应该是蓬莱市吧？

说话人02(00:07:08): 高科技是有点问题。那其实蓬莱是先录过的。

说话人01(00:07:14): 但是蓬莱的。蓬莱的这个？交通。不太方便，得到，先先到烟台再到。蓬莱。新的烟台子的危害。

说话人02(00:07:29): 最后再去蓬莱。

说话人01(00:07:32): 对，可以。其实如果去蓬莱的话，可以考虑一下，从威海。

说话人02(00:07:43): 有道理。体验一下另一种交。

说话人01(00:07:46): 交通方式对。

说话人02(00:07:50): 那我觉得可以。坐船去坐船去跑。坐火车去。

说话人01(00:08:03): 坐火车去烟台？然后从蓬莱的话。再回烟台可能就从路上交通，比如说坐客车之类。或者或者他们也有火车，也可以坐火车，然后再回再回北京。

说话人02(00:08:20): 所以就说鹏来。我们要先回烟台再坐坐坐坐车去北。可以。烟台去几天？

说话人01(00:08:40): 烟台的话。我觉得可以。烟台两天，威海两天，蓬莱一天。

说话人02(00:08:53): 可以。我觉得可行。

说话人01(00:09:06): 然后看一下这些地方有什么好玩。

说话人02(00:09:20): 是我这网不好吗？

说话人02(00:10:16): Hello. 

说话人01(00:10:19): 回来了，好像我刚刚网有点不好。

说话人02(00:10:23): Ok现在能听到？

说话人01(00:10:27): 那个那个刚刚想讲到哪了，你听到哪？

说话人02(00:10:34): 看看哪里能玩？

说话人01(00:10:38): 对。然后我觉得威海的话可能就是那些比较比较比较火的他们那。叫什么火炬接？那块对对对。就是可以做。

说话人02(00:10:55): 这些我还真不知道。

说话人01(00:11:00): 你可以现现查一下。检查。

说话人02(00:11:05): 我也很对。

说话人01(00:11:18): 我去接，然后去海边逛逛。吃个海鲜。

说话人02(00:11:29): 公司会感觉这些事情在。

说话人01(00:11:32): 他也可以做，也能做。

说话人02(00:11:35): 蓬莱是是，所以说。

说话人01(00:11:37): 说我们就要看一下。我看一下威海还有什么其他？

说话人02(00:11:46): 我看一下烟台还有。

说话人02(00:11:59): 好，那就我下去查一下有什么玩的。

说话人01(00:12:04): 对，可你你可以下去查一下威威海不烟台，我查一下威海和蓬莱。

说话人02(00:12:12): 那我查一下，然后我再查一下车票。

说话人01(00:12:16): 对，然后车票的话就是对，你可以查一下车票，让我查一下这两个。地方有什么好玩的景点，然后顺便把什么吃住什么的也可以。都看一下。

说话人02(00:12:29): 好的。
