说话人02(00:00:04): 好。好的。
说话人02(00:04:45): Ok我觉得是可以的。那我们是不是就一个人先去找？比较古典的一个人找现代的，然后。先这么来选出这么几？这个时间线先整理一下。

说话人01(00:05:07): 可以。要不记一下？那要不就是比如说我去找？10年以前的，然后你找10年之后的？

说话人02(00:05:25): 可以可以。010年为什么是10年怎么说？

说话人01(00:05:36): 我感觉10年算一个比较。或者1113年14年，我觉得那段时间可能算是这个东西慢慢的走入大众或者至少。感觉1314年。这个圈子扩大的速度挺快，所以可能这个会是一个分。

说话人02(00:06:00): 我记得好像是因为有什么游戏给促进了什么？

说话人01(00:06:04): 这种。有道理。比如<外文>的手游。

说话人02(00:06:11): 就是还有帮dream的时候有。

说话人01(00:06:13): 确实。

说话人02(00:06:16): 可以，那我们就可以，这个属于社会背景。

说话人01(00:06:22): 那我们，那我们社会背景这里要不要就是就是除了动画，然后把它的各种衍生各就是这种游戏，什么东西也加上去。

说话人02(00:06:31): 这个我觉得是可以的，因为这个是直接影响这个这个我们的热度的这个东西。也可以加上。

说话人01(00:06:45): 那是不是可以分析一下就是什么视频平台就是这种什么你你和B站之类的？

说话人02(00:06:51): 我觉得是可以的。

说话人01(00:06:55): 那我觉得可能得调研一波。

说话人02(00:07:00): 视频平台。的调研是吧，对，所以说我们是每个人我调研2010年之后的社会背景，还是说我们一个整理出时间线之后，再分别调研社会背景。

说话人01(00:07:16): 我觉得就是时间线的整理。就是算是一个比较单独的工作就是。他和社会背景好像没有直接关系，反正时间就是找作品，然后就找作品，我们两个分一下。然后社会背景之地我觉得。我觉得可以按照按照种类来分，比如我去找游戏的，然后你去找二创的，然后。然后。或者是视频平台的这种。

说话人02(00:07:50): 我觉得都挺好。可以，那那我就。视频平台就是这样。一个你的，我觉得游戏可能是就是这个。一个翻的。就是来源。然后是唉，可能是这个翻的。之后影响的东西就相当于你可以也可以推广到找一下这个反之前的什么导致了这个反，然后我可以说这个反导致了什么。

说话人01(00:08:17): 有道理就比如什么，他可能是小说或者是什么东西这。对对对。

说话人02(00:08:24): 我也可以看看什么，比如说什么贝斯的销量和这个这个这个翻曲播出的时间它有没有关系？

说话人01(00:08:35): 行。那就我这篇？时间到了喊我好，还有两分钟好，那就我这边就是看它的来源。然后你那边去看下游？

说话人02(00:09:00): 对。

说话人01(00:09:03): 那case study这里？还是我们先把。那个我们找的作品找出来，然后我们两个再一起讨论这个case study。

说话人02(00:09:14): 对于我们先确定就是作品就是哪些作品我们要开始study之后，然后再来case study。

说话人01(00:09:23): 行，我觉得没问题。<噪声>我们就。Deadline就定在下周？我们把作品选出来。

说话人02(00:09:34): 可以。好，我觉得非常好。

说话人01(00:09:40): 我也觉得非常。然后这些东西弄完之后，然后PPT就后面再说，所以就按按照。这种分工去做一做，或者可能下周要改，我们就再说，反正感觉这周还是先调研。

说话人02(00:09:58): 因为对于我们先。调研就行了。

说话人01(00:10:03): 可以。行，那我觉得ok的。然后。那要不就先这样？

说话人02(00:10:13): 可以先这样。

说话人01(00:10:15): 好的好的。辛苦。

说话人02(00:10:20): 结束了。
